date,open,high,low,close,volume,stock
12/5/2017,954.5,962.79,951.53,961.35,3625857,AMZN
15/5/2017,958.73,963.15,956.055,957.97,4270625,AMZN
16/5/2017,961,970.06,960.91,966.07,3126051,AMZN
17/5/2017,954.7,960.3957,944.12,944.76,5145578,AMZN
18/5/2017,944.8,962.75,944.76,958.49,3939347,AMZN
19/5/2017,962.84,968.92,959.72,959.84,3972089,AMZN
22/5/2017,964,971.38,962.9,970.67,2642217,AMZN
23/5/2017,975.02,975.2,966.85,971.54,2415594,AMZN
24/5/2017,976,981,970.23,980.35,2463052,AMZN
25/5/2017,984.85,999,982.11,993.38,4822032,AMZN
26/5/2017,995,998.65,989.2491,995.78,3469154,AMZN
30/5/2017,996.51,1001.2,995.52,996.7,3263069,AMZN
31/5/2017,1000,1000.12,982.16,994.62,3913115,AMZN
1/6/2017,998.59,998.99,991.37,995.95,2454841,AMZN
2/6/2017,998.99,1008.48,995.67,1006.73,3752328,AMZN
5/6/2017,1007.23,1013.21,1003.51,1011.34,2719859,AMZN
6/6/2017,1012,1016.5,1001.25,1003,3346432,AMZN
7/6/2017,1005.95,1010.25,1002,1010.07,2823041,AMZN
8/6/2017,1012.06,1013.61,1006.11,1010.27,2767857,AMZN
9/6/2017,1012.5,1012.99,927,978.31,7647692,AMZN
12/6/2017,967,975.95,945,964.91,9447233,AMZN
13/6/2017,977.99,984.5,966.1,980.79,4580011,AMZN
14/6/2017,988.59,990.34,966.71,976.47,3974900,AMZN
15/6/2017,958.7,965.73,950.86,964.17,5373865,AMZN
16/6/2017,996,999.75,982,987.71,11472662,AMZN
19/6/2017,1017,1017,989.9,995.17,5043408,AMZN
20/6/2017,998,1004.88,992.02,992.59,4076828,AMZN
21/6/2017,998.7,1002.72,992.6518,1002.23,2922473,AMZN
22/6/2017,1002.23,1006.96,997.2,1001.3,2253433,AMZN
23/6/2017,1002.54,1004.62,998.02,1003.74,2879145,AMZN
26/6/2017,1008.5,1009.8,992,993.98,3386157,AMZN
27/6/2017,990.69,998.8,976,976.78,3782389,AMZN
28/6/2017,978.55,990.68,969.21,990.33,3737567,AMZN
29/6/2017,979,987.56,965.25,975.93,4302968,AMZN
30/6/2017,980.12,983.47,967.61,968,3390345,AMZN
3/7/2017,972.79,974.49,951.0001,953.66,2909108,AMZN
5/7/2017,961.53,975,955.25,971.4,3652955,AMZN
6/7/2017,964.66,974.4,959.02,965.14,3259613,AMZN
7/7/2017,969.55,980.11,969.14,978.76,2643387,AMZN
10/7/2017,985,999.4392,983.5,996.47,3546268,AMZN
11/7/2017,993,995.99,983.72,994.13,2982726,AMZN
12/7/2017,1000.65,1008.55,998.1,1006.51,3608574,AMZN
13/7/2017,1004.62,1006.88,995.9,1000.63,2880769,AMZN
14/7/2017,1002.4,1004.45,996.89,1001.81,2102469,AMZN
17/7/2017,1004.69,1014.75,1003.81,1010.04,3712587,AMZN
18/7/2017,1006,1026.03,1004,1024.45,4007624,AMZN
19/7/2017,1025,1031.59,1022.5,1026.87,2963964,AMZN
20/7/2017,1031.59,1034.97,1022.51,1028.7,3097487,AMZN
21/7/2017,1021.28,1026.1,1011,1025.67,2734577,AMZN
24/7/2017,1028.34,1043.01,1027.43,1038.95,3288020,AMZN
25/7/2017,1038.05,1043.33,1032.48,1039.87,2447629,AMZN
26/7/2017,1043.2,1053.2,1043.2,1052.8,2921253,AMZN
27/7/2017,1069.55,1083.31,1040.18,1046,10991715,AMZN
28/7/2017,1012.14,1032.85,1001,1020.04,7709420,AMZN
31/7/2017,1019.05,1019.05,987.02,987.78,7352063,AMZN
1/8/2017,990.65,995,987.14,992.27,2650376,AMZN
2/8/2017,1001.77,1003.21,981.73,995.89,4069993,AMZN
3/8/2017,999.47,999.5,984.59,986.92,3255764,AMZN
4/8/2017,989.68,991.672,982,987.58,2730308,AMZN
7/8/2017,990.65,995,987.14,992.27,2676607,AMZN
8/8/2017,994.35,996.28,985.79,989.84,2902815,AMZN
9/8/2017,982.6,988,975.27,982.01,3569731,AMZN
10/8/2017,976.295,979.86,954.68,956.92,5684068,AMZN
11/8/2017,960,970.39,951.38,967.99,3468017,AMZN
14/8/2017,978.41,985.5,976.19,983.3,3172892,AMZN
15/8/2017,988.9,991.74,982,982.74,2549295,AMZN
16/8/2017,981.65,986.4605,973.22,978.18,3132066,AMZN
17/8/2017,977.84,977.84,960.32,960.57,3512397,AMZN
18/8/2017,961.4,965.43,954.65,958.47,3284821,AMZN
21/8/2017,957.57,961.2,945.46,953.29,3164483,AMZN
22/8/2017,955.52,967.93,955.495,966.9,2749970,AMZN
23/8/2017,959.38,962,954.2,958,2668264,AMZN
24/8/2017,957.42,959,941.14,952.45,5195726,AMZN
25/8/2017,956,957.621,944.1,945.26,3324791,AMZN
28/8/2017,946.54,953,942.25,946.02,2596737,AMZN
29/8/2017,940,956,936.33,954.06,2874299,AMZN
30/8/2017,958.44,969.41,956.9062,967.59,2904604,AMZN
31/8/2017,974.7,981,972.76,980.6,3331488,AMZN
1/9/2017,984.2,984.5,976.875,978.25,2535917,AMZN
5/9/2017,975.4,976.7699,960.37,965.27,2998649,AMZN
6/9/2017,968.32,971.84,960.6,967.8,2129861,AMZN
7/9/2017,974,980.59,972.55,979.47,2566794,AMZN
8/9/2017,979.1,979.88,963.47,965.9,2605322,AMZN
11/9/2017,974.46,981.94,974.22,977.96,2186666,AMZN
12/9/2017,983.27,984.6718,975.517,982.58,2481066,AMZN
13/9/2017,983.97,1000,979.42,999.6,3374650,AMZN
14/9/2017,996.8,998.56,987.74,992.21,3913263,AMZN
15/9/2017,993.01,996.25,984.03,986.79,3760183,AMZN
18/9/2017,990.4,992.7922,968.17,974.19,3411324,AMZN
19/9/2017,977.25,978.24,967.46,969.86,2671054,AMZN
20/9/2017,971.79,974.81,962.1626,973.21,2888795,AMZN
21/9/2017,971.31,971.7,962.02,964.65,2337576,AMZN
22/9/2017,961.01,965.61,954.42,955.1,2641787,AMZN
25/9/2017,949.31,949.42,932.89,939.79,5123997,AMZN
26/9/2017,945.49,948.63,931.75,938.6,3564848,AMZN
27/9/2017,948,955.3,943.3,950.87,3148933,AMZN
28/9/2017,951.86,959.7,950.101,956.4,2522567,AMZN
29/9/2017,960.11,964.83,958.375,961.35,2543759,AMZN
2/10/2017,964,967.305,952.1201,959.19,2442937,AMZN
3/10/2017,958,963.69,950.37,957.1,2666574,AMZN
4/10/2017,954.21,967.79,954.05,965.45,2527352,AMZN
5/10/2017,970,981.51,969.64,980.85,3229224,AMZN
6/10/2017,975.64,995.75,975.64,989.58,3782067,AMZN
9/10/2017,993.24,998.5,987.5,990.99,2938586,AMZN
10/10/2017,996.67,997.95,980.099,987.2,3084921,AMZN
11/10/2017,991.27,995.5,986.695,995,2337113,AMZN
12/10/2017,996.81,1008.44,992.4,1000.93,4067317,AMZN
13/10/2017,1007,1007.77,1001.03,1002.94,2431462,AMZN
16/10/2017,1008.44,1009.57,1001.04,1006.34,2008908,AMZN
17/10/2017,1005.59,1011.47,1004.38,1009.13,2319742,AMZN
18/10/2017,1009.27,1022.31,996.55,997,2499681,AMZN
19/10/2017,990,991.05,980.24,986.61,3108197,AMZN
20/10/2017,993.53,994.62,982,982.91,2365122,AMZN
23/10/2017,986.73,986.775,962.5,966.3,3494100,AMZN
24/10/2017,969,979.85,965,975.9,2723935,AMZN
25/10/2017,978,984.44,966.24,972.91,3033113,AMZN
26/10/2017,980.33,982.9,968.55,972.43,5618675,AMZN
27/10/2017,1058.14,1105.58,1050.55,1100.95,16565021,AMZN
30/10/2017,1095.01,1122.79,1093.56,1110.85,6613064,AMZN
31/10/2017,1109,1110.54,1101.12,1105.28,3476967,AMZN
1/11/2017,1105.4,1108.97,1096.74,1103.68,3755511,AMZN
2/11/2017,1097.81,1101.93,1086.87,1094.22,3684876,AMZN
3/11/2017,1091.15,1112.68,1088.52,1111.6,3751480,AMZN
6/11/2017,1109.15,1125.41,1108.77,1120.66,3381138,AMZN
7/11/2017,1124.74,1130.6,1117.5,1123.17,2688977,AMZN
8/11/2017,1122.82,1135.54,1119.11,1132.88,2581451,AMZN
9/11/2017,1125.96,1129.62,1115.77,1129.13,3725774,AMZN
10/11/2017,1126.1,1131.75,1124.06,1125.35,2179937,AMZN
13/11/2017,1123,1139.9,1122.34,1129.17,2918439,AMZN
14/11/2017,1130.11,1138,1123.89,1136.84,3138423,AMZN
15/11/2017,1127.01,1131.75,1121.63,1126.69,3928680,AMZN
16/11/2017,1130.16,1138.16,1130.05,1137.29,2213322,AMZN
17/11/2017,1138.28,1138.8,1125.81,1129.88,2413388,AMZN
20/11/2017,1129.77,1133.42,1122.55,1126.31,2163855,AMZN
21/11/2017,1132.86,1140,1128.2,1139.49,2479397,AMZN
22/11/2017,1141,1160.27,1141,1156.16,3555273,AMZN
24/11/2017,1160.7,1186.84,1160.7,1186,3528011,AMZN
27/11/2017,1202.66,1213.41,1191.15,1195.83,6744045,AMZN
28/11/2017,1204.88,1205.34,1188.52,1193.6,4559449,AMZN
29/11/2017,1194.8,1194.8,1145.19,1161.27,9257512,AMZN
30/11/2017,1167.1,1178.57,1160,1176.75,4509208,AMZN
1/12/2017,1172.05,1179.65,1152,1162.35,4107094,AMZN
4/12/2017,1173.85,1175.2,1128,1133.95,5931915,AMZN
5/12/2017,1128.26,1159.27,1124.74,1141.57,4079774,AMZN
6/12/2017,1137.99,1155.89,1136.08,1152.35,2853316,AMZN
7/12/2017,1156.59,1163.19,1151,1159.79,2511569,AMZN
8/12/2017,1170.4,1172.79,1157.1,1162,3050074,AMZN
11/12/2017,1164.6,1169.9,1157,1168.92,2363473,AMZN
12/12/2017,1166.51,1173.6,1161.61,1165.08,2235892,AMZN
13/12/2017,1170,1170.87,1160.27,1164.13,2616760,AMZN
14/12/2017,1163.71,1177.93,1162.45,1174.26,3214337,AMZN
15/12/2017,1179.03,1182.75,1169.33,1179.14,4778621,AMZN
18/12/2017,1187.37,1194.78,1180.91,1190.58,2947625,AMZN
19/12/2017,1189.15,1192.97,1179.14,1187.38,2587792,AMZN
20/12/2017,1190.5,1191,1176,1177.62,2371166,AMZN
21/12/2017,1175.9,1179.17,1167.64,1174.76,2123117,AMZN
22/12/2017,1172.08,1174.62,1167.83,1168.36,1585054,AMZN
26/12/2017,1168.36,1178.32,1160.55,1176.76,2005187,AMZN
27/12/2017,1179.91,1187.29,1175.61,1182.26,1867208,AMZN
28/12/2017,1189,1190.1,1184.38,1186.1,1841676,AMZN
29/12/2017,1182.35,1184,1167.5,1169.47,2688391,AMZN
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
